pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 1	Average Score: -307.00
Episode 2	Average Score: -303.50
Episode 3	Average Score: -303.67
Episode 4	Average Score: -304.50
Episode 5	Average Score: -304.00
Episode 6	Average Score: -303.50
Episode 7	Average Score: -303.57
Episode 8	Average Score: -303.25
Episode 9	Average Score: -303.78
Episode 10	Average Score: -303.40
Episode 11	Average Score: -303.27
Episode 12	Average Score: -303.17
Episode 13	Average Score: -302.92
Episode 14	Average Score: -302.93
Episode 15	Average Score: -303.00
Episode 16	Average Score: -302.88
Episode 17	Average Score: -302.82
Episode 18	Average Score: -302.67
Episode 19	Average Score: -302.79
Episode 20	Average Score: -303.15
Episode 21	Average Score: -303.05
Episode 22	Average Score: -302.91
Episode 23	Average Score: -302.83
Episode 24	Average Score: -302.71
Episode 25	Average Score: -302.64
Episode 26	Average Score: -302.73
Episode 27	Average Score: -302.78
Episode 28	Average Score: -302.86
Episode 29	Average Score: -302.83
Episode 30	Average Score: -302.87
Episode 31	Average Score: -302.77
Episode 32	Average Score: -302.72
Episode 33	Average Score: -302.64
Episode 34	Average Score: -302.65
Episode 35	Average Score: -302.60
Episode 36	Average Score: -302.53
Episode 37	Average Score: -302.78
Episode 38	Average Score: -302.71
Episode 39	Average Score: -302.85
Episode 40	Average Score: -302.77
Episode 41	Average Score: -302.95
Episode 42	Average Score: -302.88
Episode 43	Average Score: -302.91
Episode 44	Average Score: -302.89
Episode 45	Average Score: -302.84
Episode 46	Average Score: -302.85
Episode 47	Average Score: -302.89
Episode 48	Average Score: -302.88
Episode 49	Average Score: -302.94
Episode 50	Average Score: -302.96
Episode 51	Average Score: -302.90
Episode 52	Average Score: -302.87
Episode 53	Average Score: -302.83
Episode 54	Average Score: -302.78
Episode 55	Average Score: -302.85
Episode 56	Average Score: -302.82
Episode 57	Average Score: -302.79
Episode 58	Average Score: -302.76
Episode 59	Average Score: -302.76
Episode 60	Average Score: -302.77
Episode 61	Average Score: -302.87
Episode 62	Average Score: -302.95
Episode 63	Average Score: -302.92
Episode 64	Average Score: -302.97
Episode 65	Average Score: -302.95
Episode 66	Average Score: -302.92
Episode 67	Average Score: -303.04
Episode 68	Average Score: -303.21
Episode 69	Average Score: -303.16
Episode 70	Average Score: -303.34
Episode 71	Average Score: -303.34
Episode 72	Average Score: -303.32
Episode 73	Average Score: -303.30
Episode 74	Average Score: -303.30
Episode 75	Average Score: -303.25
Episode 76	Average Score: -303.36
Episode 77	Average Score: -303.34
Episode 78	Average Score: -303.29
Episode 79	Average Score: -303.28
Episode 80	Average Score: -303.26
Episode 81	Average Score: -303.30
Episode 82	Average Score: -303.29
Episode 83	Average Score: -303.28
Episode 84	Average Score: -303.26
Episode 85	Average Score: -303.25
Episode 86	Average Score: -303.22
Episode 87	Average Score: -303.24
Episode 88	Average Score: -303.20
Episode 89	Average Score: -303.19
Episode 90	Average Score: -303.17
Episode 91	Average Score: -303.14
Episode 92	Average Score: -303.22
Episode 93	Average Score: -303.18
Episode 94	Average Score: -303.15
Episode 95	Average Score: -303.12
Episode 96	Average Score: -303.10
Episode 97	Average Score: -303.07
Episode 98	Average Score: -303.05
Episode 99	Average Score: -303.06
Episode 100	Average Score: -303.12
Episode 100	Average Score: -303.12

Episode 101	Average Score: -303.08
Episode 102	Average Score: -303.10
Episode 103	Average Score: -303.07
Episode 104	Average Score: -303.02
Episode 105	Average Score: -303.08
Episode 106	Average Score: -303.39
Episode 107	Average Score: -303.40
Episode 108	Average Score: -303.56
Episode 109	Average Score: -303.48
Episode 110	Average Score: -303.48
Episode 111	Average Score: -303.46
Episode 112	Average Score: -303.44
Episode 113	Average Score: -303.55
Episode 114	Average Score: -303.54
Episode 115	Average Score: -303.54
Episode 116	Average Score: -303.67
Episode 117	Average Score: -303.75
Episode 118	Average Score: -303.75
Episode 119	Average Score: -303.70
Episode 120	Average Score: -303.61
Episode 121	Average Score: -303.60
Episode 122	Average Score: -303.60
Episode 123	Average Score: -303.59
Episode 124	Average Score: -303.59
Episode 125	Average Score: -303.72
Episode 126	Average Score: -303.73
Episode 127	Average Score: -303.70
Episode 128	Average Score: -303.67
Episode 129	Average Score: -303.65
Episode 130	Average Score: -303.61
Episode 131	Average Score: -303.62
Episode 132	Average Score: -303.73
Episode 133	Average Score: -303.78
Episode 134	Average Score: -303.75
Episode 135	Average Score: -303.74
Episode 136	Average Score: -303.74
Episode 137	Average Score: -303.74
Episode 138	Average Score: -303.74
Episode 139	Average Score: -303.81
Episode 140	Average Score: -303.82
Episode 141	Average Score: -303.75
Episode 142	Average Score: -303.75
Episode 143	Average Score: -303.71
Episode 144	Average Score: -303.69
Episode 145	Average Score: -303.72
Episode 146	Average Score: -303.70
Episode 147	Average Score: -303.68
Episode 148	Average Score: -303.68
Episode 149	Average Score: -303.62
Episode 150	Average Score: -303.61
Episode 151	Average Score: -303.69
Episode 152	Average Score: -303.69
Episode 153	Average Score: -303.69
Episode 154	Average Score: -303.70
Episode 155	Average Score: -303.65
Episode 156	Average Score: -303.64
Episode 157	Average Score: -303.75
Episode 158	Average Score: -303.74
Episode 159	Average Score: -303.73
Episode 160	Average Score: -303.71
Episode 161	Average Score: -303.63
Episode 162	Average Score: -303.63
Episode 163	Average Score: -303.66
Episode 164	Average Score: -303.61
Episode 165	Average Score: -303.60
Episode 166	Average Score: -303.62
Episode 167	Average Score: -303.55
Episode 168	Average Score: -303.47
Episode 169	Average Score: -303.47
Episode 170	Average Score: -303.33
Episode 171	Average Score: -303.30
Episode 172	Average Score: -303.36
Episode 173	Average Score: -303.38
Episode 174	Average Score: -303.44
Episode 175	Average Score: -303.50
Episode 176	Average Score: -303.39
Episode 177	Average Score: -303.37
Episode 178	Average Score: -303.39
Episode 179	Average Score: -303.37
Episode 180	Average Score: -303.69
Episode 181	Average Score: -303.68
