pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 1	Average Score: -323.00
Episode 2	Average Score: -311.50
Episode 3	Average Score: -308.33
Episode 4	Average Score: -306.75
Episode 5	Average Score: -305.80
Episode 6	Average Score: -305.67
Episode 7	Average Score: -305.00
Episode 8	Average Score: -304.75
Episode 9	Average Score: -304.33
Episode 10	Average Score: -306.80
Episode 11	Average Score: -306.18
Episode 12	Average Score: -308.08
Episode 13	Average Score: -307.54
Episode 14	Average Score: -307.00
Episode 15	Average Score: -306.87
Episode 16	Average Score: -307.19
Episode 17	Average Score: -307.12
Episode 18	Average Score: -306.78
Episode 19	Average Score: -306.89
Episode 20	Average Score: -306.80
Episode 21	Average Score: -306.81
Episode 22	Average Score: -306.50
Episode 23	Average Score: -306.26
Episode 24	Average Score: -306.04
Episode 25	Average Score: -274.48
Episode 26	Average Score: -275.50
Episode 27	Average Score: -277.04
Episode 28	Average Score: -277.86
Episode 29	Average Score: -278.69
Episode 30	Average Score: -279.47
Episode 31	Average Score: -281.06
Episode 32	Average Score: -281.69
Episode 33	Average Score: -282.24
Episode 34	Average Score: -282.79
Episode 35	Average Score: -260.83
Episode 36	Average Score: -262.33
Episode 37	Average Score: -263.35
Episode 38	Average Score: -264.34
Episode 39	Average Score: -265.41
Episode 40	Average Score: -266.40
Episode 41	Average Score: -267.59
Episode 42	Average Score: -268.43
Episode 43	Average Score: -269.84
Episode 44	Average Score: -270.57
Episode 45	Average Score: -271.22
Episode 46	Average Score: -271.85
Episode 47	Average Score: -272.87
Episode 48	Average Score: -273.44
Episode 49	Average Score: -273.98
Episode 50	Average Score: -274.96
Episode 51	Average Score: -275.94
Episode 52	Average Score: -276.42
Episode 53	Average Score: -276.87
Episode 54	Average Score: -277.37
Episode 55	Average Score: -277.78
Episode 56	Average Score: -278.32
Episode 57	Average Score: -278.74
Episode 58	Average Score: -279.53
Episode 59	Average Score: -279.88
Episode 60	Average Score: -280.25
Episode 61	Average Score: -281.05
Episode 62	Average Score: -281.37
Episode 63	Average Score: -281.67
Episode 64	Average Score: -282.41
Episode 65	Average Score: -282.68
Episode 66	Average Score: -282.94
Episode 67	Average Score: -283.19
Episode 68	Average Score: -283.54
Episode 69	Average Score: -272.43
Episode 70	Average Score: -273.24
Episode 71	Average Score: -273.63
Episode 72	Average Score: -274.01
Episode 73	Average Score: -274.37
Episode 74	Average Score: -274.74
Episode 75	Average Score: -275.47
Episode 76	Average Score: -276.17
Episode 77	Average Score: -276.52
Episode 78	Average Score: -276.85
Episode 79	Average Score: -277.23
Episode 80	Average Score: -277.88
Episode 81	Average Score: -278.20
Episode 82	Average Score: -278.82
Episode 83	Average Score: -279.16
Episode 84	Average Score: -279.75
Episode 85	Average Score: -280.05
Episode 86	Average Score: -280.30
Episode 87	Average Score: -280.86
Episode 88	Average Score: -272.27
Episode 89	Average Score: -263.84
Episode 90	Average Score: -264.57
Episode 91	Average Score: -265.27
Episode 92	Average Score: -265.65
Episode 93	Average Score: -266.27
Episode 94	Average Score: -266.69
Episode 95	Average Score: -267.05
Episode 96	Average Score: -267.44
Episode 97	Average Score: -268.07
Episode 98	Average Score: -268.41
Episode 99	Average Score: -268.78
Episode 100	Average Score: -269.38
Episode 100	Average Score: -269.38

Episode 101	Average Score: -269.44
Episode 102	Average Score: -269.73
Episode 103	Average Score: -270.00
Episode 104	Average Score: -270.03
Episode 105	Average Score: -270.02
Episode 106	Average Score: -269.98
Episode 107	Average Score: -262.11
Episode 108	Average Score: -262.09
Episode 109	Average Score: -262.22
Episode 110	Average Score: -262.03
Episode 111	Average Score: -262.12
Episode 112	Average Score: -262.12
Episode 113	Average Score: -262.13
Episode 114	Average Score: -262.13
Episode 115	Average Score: -262.15
Episode 116	Average Score: -262.32
Episode 117	Average Score: -262.29
Episode 118	Average Score: -262.32
Episode 119	Average Score: -262.43
Episode 120	Average Score: -262.39
Episode 121	Average Score: -262.38
Episode 122	Average Score: -262.41
Episode 123	Average Score: -262.69
Episode 124	Average Score: -262.97
Episode 125	Average Score: -270.81
Episode 126	Average Score: -270.82
Episode 127	Average Score: -270.94
Episode 128	Average Score: -270.96
Episode 129	Average Score: -271.00
Episode 130	Average Score: -271.27
Episode 131	Average Score: -271.06
Episode 132	Average Score: -271.06
Episode 133	Average Score: -271.35
Episode 134	Average Score: -271.63
Episode 135	Average Score: -279.51
Episode 136	Average Score: -279.37
Episode 137	Average Score: -279.38
Episode 138	Average Score: -279.66
Episode 139	Average Score: -279.63
Episode 140	Average Score: -279.61
Episode 141	Average Score: -279.75
Episode 142	Average Score: -279.85
Episode 143	Average Score: -279.85
Episode 144	Average Score: -271.99
Episode 145	Average Score: -272.28
Episode 146	Average Score: -272.29
Episode 147	Average Score: -272.09
Episode 148	Average Score: -272.11
Episode 149	Average Score: -272.12
Episode 150	Average Score: -272.07
Episode 151	Average Score: -271.83
Episode 152	Average Score: -271.83
Episode 153	Average Score: -272.12
Episode 154	Average Score: -272.24
Episode 155	Average Score: -272.24
Episode 156	Average Score: -272.26
Episode 157	Average Score: -272.53
Episode 158	Average Score: -272.34
Episode 159	Average Score: -272.34
Episode 160	Average Score: -272.61
Episode 161	Average Score: -272.61
Episode 162	Average Score: -272.74
Episode 163	Average Score: -272.95
Episode 164	Average Score: -272.95
Episode 165	Average Score: -272.96
Episode 166	Average Score: -273.03
Episode 167	Average Score: -273.08
Episode 168	Average Score: -273.02
Episode 169	Average Score: -281.14
Episode 170	Average Score: -281.01
Episode 171	Average Score: -281.06
Episode 172	Average Score: -281.34
Episode 173	Average Score: -281.56
Episode 174	Average Score: -281.54
Episode 175	Average Score: -281.54
Episode 176	Average Score: -281.54
Episode 177	Average Score: -281.57
Episode 178	Average Score: -281.60
Episode 179	Average Score: -273.70
Episode 180	Average Score: -273.70
Episode 181	Average Score: -273.68
Episode 182	Average Score: -273.68
Episode 183	Average Score: -273.90
Episode 184	Average Score: -273.90
Episode 185	Average Score: -274.14
Episode 186	Average Score: -274.30
Episode 187	Average Score: -274.03
Episode 188	Average Score: -281.81
Episode 189	Average Score: -281.79
Episode 190	Average Score: -281.79
Episode 191	Average Score: -281.53
Episode 192	Average Score: -273.76
Episode 193	Average Score: -273.82
Episode 194	Average Score: -274.05
Episode 195	Average Score: -274.11
Episode 196	Average Score: -274.36
Episode 197	Average Score: -274.36
Episode 198	Average Score: -274.45
Episode 199	Average Score: -274.41
Episode 200	Average Score: -274.14
Episode 200	Average Score: -274.14

Episode 201	Average Score: -274.14
Episode 202	Average Score: -273.96
Episode 203	Average Score: -273.96
Episode 204	Average Score: -274.20
Episode 205	Average Score: -274.27
Episode 206	Average Score: -274.41
Episode 207	Average Score: -282.43
Episode 208	Average Score: -282.42
Episode 209	Average Score: -282.31
Episode 210	Average Score: -282.21
Episode 211	Average Score: -282.12
Episode 212	Average Score: -281.86
Episode 213	Average Score: -282.13
Episode 214	Average Score: -282.17
Episode 215	Average Score: -282.39
Episode 216	Average Score: -282.39
Episode 217	Average Score: -282.65
Episode 218	Average Score: -282.61
Episode 219	Average Score: -282.47
Episode 220	Average Score: -282.49
Episode 221	Average Score: -282.45
Episode 222	Average Score: -282.50
Episode 223	Average Score: -282.29
Episode 224	Average Score: -282.29
Episode 225	Average Score: -282.51
Episode 226	Average Score: -274.66
Episode 227	Average Score: -274.47
Episode 228	Average Score: -274.48
Episode 229	Average Score: -274.54
Episode 230	Average Score: -274.26
Episode 231	Average Score: -274.39
Episode 232	Average Score: -274.59
Episode 233	Average Score: -274.59
Episode 234	Average Score: -274.32
Episode 235	Average Score: -274.33
Episode 236	Average Score: -274.39
Episode 237	Average Score: -274.67
Episode 238	Average Score: -274.55
Episode 239	Average Score: -274.81
Episode 240	Average Score: -275.07
Episode 241	Average Score: -274.83
Episode 242	Average Score: -274.99
Episode 243	Average Score: -274.99
