pygame 2.0.1 (SDL 2.0.14, Python 3.8.11)
Hello from the pygame community. https://www.pygame.org/contribute.html

Episode 1	Average Score: -300.00
Episode 2	Average Score: -302.00
Episode 3	Average Score: -305.33
Episode 4	Average Score: -304.00
Episode 5	Average Score: -309.00
Episode 6	Average Score: -312.33
Episode 7	Average Score: -311.43
Episode 8	Average Score: -310.00
Episode 9	Average Score: -309.11
Episode 10	Average Score: -308.90
Episode 11	Average Score: -308.09
Episode 12	Average Score: -308.92
Episode 13	Average Score: -308.54
Episode 14	Average Score: -308.07
Episode 15	Average Score: -307.60
Episode 16	Average Score: -307.25
Episode 17	Average Score: -307.00
Episode 18	Average Score: -306.67
Episode 19	Average Score: -306.58
Episode 20	Average Score: -306.30
Episode 21	Average Score: -306.62
Episode 22	Average Score: -306.32
Episode 23	Average Score: -306.04
Episode 24	Average Score: -305.83
Episode 25	Average Score: -305.60
Episode 26	Average Score: -305.77
Episode 27	Average Score: -306.44
Episode 28	Average Score: -306.79
Episode 29	Average Score: -306.59
Episode 30	Average Score: -306.43
Episode 31	Average Score: -306.48
Episode 32	Average Score: -306.38
Episode 33	Average Score: -306.21
Episode 34	Average Score: -306.03
Episode 35	Average Score: -306.14
Episode 36	Average Score: -305.97
Episode 37	Average Score: -305.92
Episode 38	Average Score: -305.79
Episode 39	Average Score: -305.69
Episode 40	Average Score: -306.10
Episode 41	Average Score: -306.24
Episode 42	Average Score: -306.12
Episode 43	Average Score: -306.16
Episode 44	Average Score: -306.11
Episode 45	Average Score: -306.00
Episode 46	Average Score: -305.89
Episode 47	Average Score: -305.87
Episode 48	Average Score: -306.02
Episode 49	Average Score: -306.49
Episode 50	Average Score: -306.44
Episode 51	Average Score: -306.31
Episode 52	Average Score: -306.21
Episode 53	Average Score: -306.11
Episode 54	Average Score: -306.50
Episode 55	Average Score: -306.40
Episode 56	Average Score: -306.32
Episode 57	Average Score: -306.21
Episode 58	Average Score: -306.16
Episode 59	Average Score: -306.07
Episode 60	Average Score: -306.45
Episode 61	Average Score: -306.82
Episode 62	Average Score: -306.71
Episode 63	Average Score: -306.60
Episode 64	Average Score: -306.52
Episode 65	Average Score: -306.42
Episode 66	Average Score: -306.36
Episode 67	Average Score: -306.27
